	S1_1	S1_2	S5_1	S5_2	log2FC	mean
MMVL30_FL52	16.052539144687458	17.007112745267165	75.26392651827602	75.22424301731544	2.1530695358711704	37.14017819228345
MMVL30_FL48	2.111570722232126	1.8764334579896904	9.575687181182687	9.113993518542928	1.9809051364384096	4.931718003277168
MMVL30_FL32	0.891939489637577	0.6401862549203363	4.065818017086902	4.8963842752917355	1.976115656337394	2.494088738654789
MMVL30_FL59	1.6088451859319293	1.1795279620623842	6.646922661389996	7.119272590222089	1.9626477945331346	3.7034432388279064
MMVL30_FL16	0.40135037571951165	0.48062226211566395	3.2007845661764867	2.953615029128897	1.9265850468061045	1.7925914559893328
MMVL30_FL3	3.237989474646747	2.8667991784010685	14.15438085466383	11.718390789369662	1.9192814886533638	6.779368357146934
MMVL30_FL47	3.6058386812154284	3.1441106020174816	13.93885361451991	14.015770704062483	1.901535003892276	7.321221721141517
MMVL30_FL17	0.4293743475253372	0.521894795985667	2.9166178001309677	2.827588429630415	1.7892358665787098	1.6969422479702196
MMVL30_FL39	1.0677115612706984	1.0123919840043527	4.053935280389851	5.3282216070147115	1.7530554373385863	2.64306317400364
MMVL30_FL4	1.4313228727280545	0.8917542561764976	4.135398401655395	5.047680956631129	1.6155822140688576	2.6243477402519866
MMVL30_FL34	0.9466384037353653	0.7255458240113463	3.5877191065531013	3.4010323488079934	1.5799505704781898	2.0481772507171994
MMVL30_FL46	0.25206045508384706	0.5444278407096863	2.7552456030249597	1.3829620951910813	1.516085672337175	1.29015633326935
MMVL30_FL38	0.9147160532568862	0.7859916474404496	3.057575189904721	3.5758480458032516	1.4989926793795167	1.9666247231569653
MMVL30_FL76	5.852169184832204	5.438807407974909	14.410889809910662	17.04515666562064	1.4008877223736993	8.829582158142424
MMVL30_FL18	0.24099819774539785	0.20018930780681415	1.5028395051705496	1.243456021554914	1.3782066617323303	0.9131379388020011
MMVL30_FL89	0.5886687382644961	0.6281742731292035	2.1238300117925877	2.4557648094841245	1.3316537527991075	1.4256183170939039
